"disp:0","disp:1","disp:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.038425,-4.3121e-16,0,1,1.221,-0.779,0,0
-0.038505,-4.3245e-16,0,1,1.224,-0.776,0,0
-0.038584,-4.3369e-16,0,1,1.227,-0.773,0,0
-0.038664,-4.3493e-16,0,1,1.23,-0.77,0,0
-0.038744,-4.3617e-16,0,1,1.233,-0.767,0,0
-0.038824,-4.3741e-16,0,1,1.236,-0.764,0,0
-0.038903,-4.3866e-16,0,1,1.239,-0.761,0,0
-0.038983,-4.399e-16,0,1,1.242,-0.758,0,0
-0.039063,-4.4114e-16,0,1,1.245,-0.755,0,0
-0.039143,-4.4238e-16,0,1,1.248,-0.752,0,0
-0.039222,-4.4362e-16,0,1,1.251,-0.749,0,0
-0.039302,-4.4486e-16,0,1,1.254,-0.746,0,0
-0.039382,-4.4611e-16,0,1,1.257,-0.743,0,0
-0.039462,-4.4735e-16,0,1,1.26,-0.74,0,0
-0.039541,-4.4859e-16,0,1,1.263,-0.737,0,0
-0.039621,-4.4987e-16,0,1,1.266,-0.734,0,0
-0.0397,-4.5142e-16,0,1,1.269,-0.731,0,0
-0.039779,-4.5296e-16,0,1,1.272,-0.728,0,0
-0.039859,-4.5451e-16,0,1,1.275,-0.725,0,0
-0.039938,-4.5606e-16,0,1,1.278,-0.722,0,0
-0.040017,-4.576e-16,0,1,1.281,-0.719,0,0
-0.040096,-4.5915e-16,0,1,1.284,-0.716,0,0
-0.040176,-4.607e-16,0,1,1.287,-0.713,0,0
